sortId	Sample_ID	Species	Category	Cell_type	Generation	Feed	Sample nr	Flowcell_lane	CpG_covFile	AlignedBam	Reads_all	Reads_PF	Reads_all_trimmed	Reads_aligned	Alignment_rate	uniqueSeqMotifCount	bisulfiteConversionRate	globalMethylationMean	totalSeqMotifCount	meanCoverage
1	2013_1814_1	Danio Rerio	NIFES	Liver	F1	Low 1-C	1	BSF_0143_C55CWACXX_6	2013_1814_1.bed	2013_1814_1.bam	35210634	27637566	33310702	27853475	84%	1776743	99.2651151668	83.9710487281	72202557	40.6375919308533
2	2013_1814_10	Danio Rerio	NIFES	Liver	F1	Control	10	BSF_0143_C55CWACXX_6	2013_1814_10.bed	2013_1814_10.bam	35827789	27879312	33738107	27697822	82%	1759907	99.2467869472	85.7528381721	73075516	41.5223736254245
3	2013_1814_11	Danio Rerio	NIFES	Liver	F1	Control	11	BSF_0143_C55CWACXX_8	2013_1814_11.bed	2013_1814_11.bam	49693825	38104285	46625585	36674184	79%	1790359	99.219180207	85.6812055477	97434546	54.4217925008336
4	2013_1814_12	Danio Rerio	NIFES	Liver	F1	Control	12	BSF_0143_C55CWACXX_7	2013_1814_12.bed	2013_1814_12.bam	37088738	27951633	34689029	25814467	74%	1756058	99.2559543472	85.9191783756	66723843	37.9963776822861
5	2013_1814_13	Danio Rerio	NIFES	Liver	F1	High ARA	13	BSF_0143_C55CWACXX_8	2013_1814_13.bed	2013_1814_13.bam	32983840	25226435	30834710	25390033	82%	1751556	99.2009821042	85.47930976	66297530	37.8506482236366
6	2013_1814_14	Danio Rerio	NIFES	Liver	F1	High ARA	14	BSF_0143_C55CWACXX_8	2013_1814_14.bed	2013_1814_14.bam	23527576	18680490	22166290	17864374	81%	1719557	99.2174868977	86.0308731167	46882768	27.2644454356558
7	2013_1814_15	Danio Rerio	NIFES	Liver	F1	High ARA	15	BSF_0143_C55CWACXX_7	2013_1814_15.bed	2013_1814_15.bam	28406767	21967384	26811870	20476580	76%	1733761	99.2444483047	85.4695089285	54661172	31.5275127309935
8	2013_1814_16	Danio Rerio	NIFES	Liver	F1	High ARA	16	BSF_0143_C55CWACXX_8	2013_1814_16.bed	2013_1814_16.bam	26812118	20059061	24926982	20348494	82%	1735796	99.2242769778	85.2346550291	51944646	29.9255477026102
9	2013_1814_17	Danio Rerio	NIFES	Liver	F1	High ARA	17	BSF_0143_C55CWACXX_7	2013_1814_17.bed	2013_1814_17.bam	23618967	18433844	22398885	17839822	80%	1699243	99.2445303583	86.5339974807	46682990	27.4728158362282
10	2013_1814_18	Danio Rerio	NIFES	Liver	F1	High ARA	18	BSF_0143_C55CWACXX_6	2013_1814_18.bed	2013_1814_18.bam	26291222	20793635	24895470	19908511	80%	1738550	99.291921535	84.769666221	51485115	29.6138247390066
11	2013_1814_2	Danio Rerio	NIFES	Liver	F1	Low 1-C	2	BSF_0143_C55CWACXX_8	2013_1814_2.bed	2013_1814_2.bam	27962710	21727249	26294869	21567806	82%	1709821	99.2437030664	84.7907315706	54978799	32.1547103468726
12	2013_1814_3	Danio Rerio	NIFES	Liver	F1	Low 1-C	3	BSF_0143_C55CWACXX_7	2013_1814_3.bed	2013_1814_3.bam	36908239	28009370	34589897	27417264	79%	1756795	99.2760017042	84.6885773369	70074364	39.8876158003637
13	2013_1814_4	Danio Rerio	NIFES	Liver	F1	Low 1-C	4	BSF_0143_C55CWACXX_8	2013_1814_4.bed	2013_1814_4.bam	33315568	25730655	31184361	23358858	75%	1748823	99.2238846846	83.5024152606	60309343	34.4856757945201
14	2013_1814_5	Danio Rerio	NIFES	Liver	F1	Low 1-C	5	BSF_0143_C55CWACXX_6	2013_1814_5.bed	2013_1814_5.bam	33246811	25982387	31355562	26168710	83%	1756052	99.2863486101	84.6757204851	67104160	38.2130825283078
15	2013_1814_6	Danio Rerio	NIFES	Liver	F1	Low 1-C	6	BSF_0143_C55CWACXX_7	2013_1814_6.bed	2013_1814_6.bam	41761002	30872679	38864927	31438567	81%	1784998	99.2824127809	83.7841946155	77838731	43.6071810724718
16	2013_1814_7	Danio Rerio	NIFES	Liver	F1	Control	7	BSF_0143_C55CWACXX_6	2013_1814_7.bed	2013_1814_7.bam	30455512	23751622	28752576	23586736	82%	1756557	99.2749181813	83.5156614888	59401971	33.8172749304463
17	2013_1814_8	Danio Rerio	NIFES	Liver	F1	Control	8	BSF_0143_C55CWACXX_6	2013_1814_8.bed	2013_1814_8.bam	28522952	22149004	26827573	22128392	82%	1744697	99.2747689671	84.4621981679	56214055	32.2199528055588
18	2013_1814_9	Danio Rerio	NIFES	Liver	F1	Control	9	BSF_0143_C55CWACXX_7	2013_1814_9.bed	2013_1814_9.bam	28383924	21635448	26709714	21979347	82%	1734597	99.2535744985	83.7353597584	55166539	31.803663329292
19	2013_1815_1	Danio Rerio	NIFES	Muscle	F1	Low 1-C	1	BSF_0142_C55ALACXX_7	2013_1815_1.bed	2013_1815_1.bam	50230848	33436249	46680086	35617198	76%	1701806	99.2999666059	81.2398103894	85336504	50.144672189427
20	2013_1815_11	Danio Rerio	NIFES	Muscle	F1	Control	11	BSF_0142_C55ALACXX_8	2013_1815_11.bed	2013_1815_11.bam	36038642	23733437	33610820	19016812	57%	1512710	99.1933088074	80.2252214829	44963872	29.7240528587766
21	2013_1815_15	Danio Rerio	NIFES	Muscle	F1	High ARA	15	BSF_0142_C55ALACXX_8	2013_1815_15.bed	2013_1815_15.bam	33448338	22822232	31501592	7883708	25%	1216755	99.1893493884	75.7283440034	19668422	16.1646527032969
22	2013_1815_16	Danio Rerio	NIFES	Muscle	F1	High ARA	16	BSF_0142_C55ALACXX_8	2013_1815_16.bed	2013_1815_16.bam	36203360	24781579	34176805	10579042	31%	1241007	99.1837169567	66.3106306915	24031123	19.3642122888912
23	2013_1815_17	Danio Rerio	NIFES	Muscle	F1	High ARA	17	BSF_0146_C5NUPACXX_6	2013_1815_17.bed	2013_1815_17.bam	40862510	26715521	38422688	11889217	31%	1273659	99.3109943729	60.0840660512	28315055	22.2312683379146
24	2013_1815_2	Danio Rerio	NIFES	Muscle	F1	Low 1-C	2	BSF_0146_C5NUPACXX_6	2013_1815_2.bed	2013_1815_2.bam	33806845	21567474	31132810	14327325	46%	1367332	99.2991155605	66.0115321051	34474538	25.2129972822987
25	2013_1815_4	Danio Rerio	NIFES	Muscle	F1	Low 1-C	4	BSF_0142_C55ALACXX_8	2013_1815_4.bed	2013_1815_4.bam	22415033	15317811	21152850	7731250	37%	1060629	99.2226853023	58.2028697614	17687856	16.6767606769191
